iteration,buffer_size,white_wins,black_wins,draws,loss,policy_loss,value_loss
92,112354,8,10,2,1.720086669921875,1.4730995285511017,0.24698715060949325
93,113580,6,11,3,1.718724913597107,1.4619057822227477,0.25681913137435913
94,114805,7,11,2,1.7241439163684844,1.4728876852989197,0.25125623151659965
95,116032,5,13,2,1.7270556259155274,1.4766334307193756,0.2504221910238266
96,117261,6,12,2,1.7266274738311767,1.4777074539661408,0.24892002508044242
97,118485,5,12,3,1.7413612186908722,1.4814543449878692,0.25990687519311906
98,119710,2,18,0,1.742186999320984,1.4849477088451386,0.2572393001616001
99,120940,6,14,0,1.7441543698310853,1.4811338663101197,0.26302049934864047
100,122164,6,12,2,1.74475257396698,1.4872527921199798,0.25749977692961695
101,123392,6,13,1,1.7367372953891753,1.481582852602005,0.2551544392108917
102,124619,8,10,2,1.753208658695221,1.4958418250083922,0.25736683189868925
103,125845,6,11,3,1.7527224111557007,1.4965705466270447,0.25615186482667923
104,127070,6,9,5,1.747535308599472,1.4917280328273774,0.25580727830529215
105,128294,5,13,2,1.7534146893024445,1.4986483693122863,0.25476631879806516
106,129516,4,12,4,1.762198222875595,1.500452082157135,0.26174613580107686
107,130749,8,9,3,1.760266124010086,1.5025863146781921,0.257679808139801
108,131977,10,8,2,1.7671513879299163,1.499036362171173,0.26811502188444136
109,133209,8,11,1,1.7654394567012788,1.502486230134964,0.2629532323777676
110,134440,9,7,4,1.7714142107963562,1.5050711452960968,0.26634306758642196
111,135669,9,9,2,1.7757566106319427,1.5058489644527435,0.2699076451361179
112,136895,6,13,1,1.7820118880271911,1.5141227638721466,0.26788912162184714
113,138124,9,11,0,1.775857390165329,1.5101818799972535,0.2656755049526691
114,139346,8,12,0,1.7860715866088868,1.5166013383865355,0.26947025015950204
115,140571,5,14,1,1.7836717307567596,1.5190684950351716,0.26460323318839074
116,141797,10,8,2,1.7998226583003998,1.5238639271259309,0.2759587268531323
117,143022,6,12,2,1.7994397032260894,1.5284180307388306,0.2710216735303402
118,144246,4,12,4,1.7945362508296967,1.5157507371902466,0.27878551334142687
119,145470,7,9,4,1.7992744386196136,1.5198179244995118,0.27945651188492776
120,146699,8,12,0,1.8019700622558594,1.5237307369709014,0.27823932975530624
121,147922,8,11,1,1.8094456565380097,1.535709685087204,0.2737359799444675
122,149151,8,11,1,1.8072799813747407,1.5268548619747162,0.2804251192510128
123,150375,7,10,3,1.7975628972053528,1.5225561225414277,0.2750067660212517
124,151602,10,9,1,1.8155276429653169,1.5380904567241669,0.2774371860921383
125,152828,5,11,4,1.8222708630561828,1.533512659072876,0.288758208155632
126,154058,6,11,3,1.8197976708412171,1.5438622832298279,0.2759353849291801
127,155282,8,10,2,1.8286813044548034,1.546828145980835,0.28185315981507303
128,156508,9,8,3,1.8273432517051698,1.5379970860481262,0.28934616193175317
129,157737,5,14,1,1.8270324420928956,1.5393690538406373,0.2876633907854557
130,158963,8,10,2,1.8295207560062408,1.5392477428913116,0.2902730117738247
131,160189,7,11,2,1.8313797390460969,1.549270862340927,0.28210887491703035
132,161418,9,7,4,1.8302376759052277,1.5471733510494232,0.2830643281340599
133,162643,10,7,3,1.8346677279472352,1.5429166185855865,0.2917511044442654
135,163929,8,7,5,1.8630054593086243,1.5587529802322388,0.3042524765431881
136,165155,8,9,3,1.845520989894867,1.5576204860210419,0.28790050342679024
137,166384,7,11,2,1.8373636388778687,1.550588345527649,0.2867752894759178
138,167610,8,9,3,1.8373912394046783,1.550814516544342,0.2865767188370228
139,168834,7,11,2,1.8499373030662536,1.562245420217514,0.28769188195466994
140,170059,8,9,3,1.846632821559906,1.551456060409546,0.2951767629384994
141,171285,10,8,2,1.86260218501091,1.5533202815055847,0.3092819069325924
142,172513,6,13,1,1.863339012861252,1.5662470865249634,0.2970919285714626
143,173736,7,11,2,1.8656305706501006,1.5638101148605346,0.30182045355439185
144,174960,8,6,6,1.850529181957245,1.5566682922840118,0.2938608857989311
