epoch,batch,td_loss,supervised_loss,total_loss,elapsed_min
6,200,0.047762878239154816,0.37858641147613525,0.4263492822647095,5.40
7,50,0.0389762818813324,0.35785216093063354,0.39682844281196594,5.72
7,100,0.037572816014289856,0.3499165177345276,0.38748931884765625,5.92
7,150,0.040508657693862915,0.32182660698890686,0.3623352646827698,6.12
7,200,0.03690032660961151,0.3125680685043335,0.3494684100151062,6.32
8,50,0.03976556658744812,0.34206080436706543,0.38182637095451355,6.64
8,100,0.034882768988609314,0.32366272807121277,0.3585454821586609,6.84
8,150,0.028571762144565582,0.33051881194114685,0.35909056663513184,7.04
8,200,0.03289681300520897,0.32096219062805176,0.353859007358551,7.24
9,50,0.042073965072631836,0.3219791054725647,0.36405307054519653,7.55
9,100,0.035916123539209366,0.29208725690841675,0.3280033767223358,7.75
9,150,0.03775262087583542,0.3308217525482178,0.3685743808746338,7.95
9,200,0.032650839537382126,0.3114839792251587,0.3441348075866699,8.15
10,50,0.04033942148089409,0.27574285864830017,0.31608226895332336,8.47
10,100,0.03359265625476837,0.29562121629714966,0.32921385765075684,8.67
10,150,0.030186451971530914,0.29515546560287476,0.3253419101238251,8.87
10,200,0.03045547381043434,0.31389909982681274,0.3443545699119568,9.07
11,50,0.036159612238407135,0.2907177805900574,0.3268773853778839,9.39
11,100,0.03277325630187988,0.2896081209182739,0.3223813772201538,9.59
11,150,0.04317594692111015,0.32945334911346436,0.3726292848587036,9.78
11,200,0.02600603923201561,0.29252713918685913,0.31853318214416504,9.98
12,50,0.041347797960042953,0.2952444553375244,0.33659225702285767,10.31
12,100,0.0381695032119751,0.28174054622650146,0.31991004943847656,10.50
12,150,0.028992909938097,0.29689449071884155,0.32588741183280945,10.70
12,200,0.03799829259514809,0.3327026963233948,0.37070098519325256,10.90
13,50,0.03245135024189949,0.31883659958839417,0.35128796100616455,11.22
13,100,0.025170810520648956,0.2939625680446625,0.31913337111473083,11.42
13,150,0.026619024574756622,0.3013290762901306,0.32794809341430664,11.62
13,200,0.03428606688976288,0.2830943167209625,0.3173803687095642,11.82
14,50,0.027213703840970993,0.30979758501052856,0.33701127767562866,12.15
14,100,0.03846845030784607,0.24826523661613464,0.2867336869239807,12.34
14,150,0.021670829504728317,0.26983460783958435,0.2915054261684418,12.54
14,200,0.028531014919281006,0.29459458589553833,0.32312560081481934,12.74
15,50,0.03475239872932434,0.26251065731048584,0.2972630560398102,13.07
15,100,0.024755196645855904,0.26074010133743286,0.2854953110218048,13.26
15,150,0.02567792683839798,0.2759897708892822,0.3016676902770996,13.46
15,200,0.03795817494392395,0.2713478207588196,0.30930599570274353,13.66
16,50,0.021385669708251953,0.27357935905456543,0.2949650287628174,13.99
16,100,0.02434832602739334,0.3104631304740906,0.3348114490509033,14.19
16,150,0.03146301209926605,0.26977866888046265,0.3012416958808899,14.39
16,200,0.020290959626436234,0.2596750259399414,0.27996599674224854,14.59
17,50,0.029931381344795227,0.2756836712360382,0.30561506748199463,14.91
17,100,0.017258010804653168,0.2670140862464905,0.28427210450172424,15.12
17,150,0.015950815752148628,0.2589077055454254,0.2748585343360901,15.32
17,200,0.01876048743724823,0.26260024309158325,0.2813607454299927,15.52
18,50,0.03388720378279686,0.2783505320549011,0.3122377395629883,15.85
18,100,0.022470977157354355,0.25467368960380554,0.2771446704864502,16.05
18,150,0.022030970081686974,0.284946084022522,0.3069770634174347,16.25
18,200,0.02585810050368309,0.2572527229785919,0.2831108272075653,16.45
19,50,0.03929453343153,0.26859551668167114,0.30789005756378174,16.78
19,100,0.023539263755083084,0.2546848654747009,0.2782241404056549,16.98
19,150,0.01935114711523056,0.2599279284477234,0.27927908301353455,17.18
19,200,0.019517067819833755,0.2604914903640747,0.28000855445861816,17.38
20,50,0.043388813734054565,0.27472609281539917,0.31811490654945374,17.71
20,100,0.04608875513076782,0.2757742404937744,0.32186299562454224,17.91
20,150,0.02426811493933201,0.2630194127559662,0.28728753328323364,18.11
20,200,0.03535894304513931,0.2912766933441162,0.3266356289386749,18.31
